id,domain,risk_event,fail_closed_bounded_non_self_escalating_policy,implementation_detail,master_plan_refs,related_doc_refs
18,Dream Compute,"Runaway dream compute loops","Budget controller + freeze","Enforce compute/cycle caps; auto-freeze high-impact runaway loops","5.2.25;7.9.28;10.9.18","AVRAI_PHILOSOPHY_AND_ARCHITECTURE.md §10"
19,Dream Evidence,"Recursive self-confirmation","No self-proving updates","Dream labels can train exploration only; policy-critical updates need real outcomes","5.2.26;1.1E.21;10.9.21","BIAS_AND_DIGNITY_GUARDRAILS.md §10"
20,Belief Governance,"Dream tier overrides proven conviction","Belief-tier precedence lock","Immutable tier order with authority gate on high-impact actions","1.1E.20;6.2.21;7.7.16;10.9.21","AVRAI_PHILOSOPHY_AND_ARCHITECTURE.md §7"
21,Dream Conflict,"Dream policy conflicts with deterministic journals/proven conviction","Dream contradiction dampener + fail-closed conflict rule","Auto-penalize, route to shadow, block rollout when unresolved","6.2.22;7.7.17","BIAS_AND_DIGNITY_GUARDRAILS.md §10"
22,Federated Coherence,"Global update conflicts with local deterministic outcomes","Federated contradiction quarantine","Hold candidate in shadow until reconciliation evidence passes","8.1.7;8.1.14","AVRAI_PHILOSOPHY_AND_ARCHITECTURE.md §7"
23,Cohort Safety,"Cross-cohort inversion/nonmonotonic harm","Inversion quarantine","Require targeted mitigation before promotion","8.1.16;10.9.19","BIAS_AND_DIGNITY_GUARDRAILS.md §6"
24,Federated Dream,"Divergent dream imports across localities","Dream-policy quarantine lane","Share only vetted dream candidates; block divergent imports until recalibration","8.1.17;8.1.18;8.1.19","AVRAI_PHILOSOPHY_AND_ARCHITECTURE.md §6.2"
25,Advisory Layer,"Advisory strategy degradation/anomaly","Advisory quarantine + credibility decay","Shadow/quarantine advisory strategies; allow advisory-only rollback","10.9.6","BIAS_AND_DIGNITY_GUARDRAILS.md §7"
26,Adversarial Security,"Poisoning/outlier injection into learning channels","Attestation + outlier defense + scoped kill switch","Signed updates, reputation weighting, and per-channel disable controls","10.9.10","BIAS_AND_DIGNITY_GUARDRAILS.md §6"
27,System Hijack,"Cross-surface compromise across autonomy stack","Red-team gate blocks expansion","No autonomous scope expansion while critical red-team lanes are red","10.9.20","BIAS_AND_DIGNITY_GUARDRAILS.md §8"
28,Incident Flood,"First-occurrence alert storms overwhelm healing queue","Storm-control SLO","Rate caps, dedupe horizon, incident bundling; rollout blocked on overflow","10.9.17;7.9.37","BIAS_AND_DIGNITY_GUARDRAILS.md §10"
29,Unresolved Contradictions,"Infinite rumination on unresolved issues","Dwell-budget enforcement","Per-issue max attempts/wall-clock; forced escalation path","1.1E.15;6.2.18;6.2.20;10.9.15","BIAS_AND_DIGNITY_GUARDRAILS.md §10"
30,First-Seen Critical Failures,"Novel severe issue ignored or delayed","First-occurrence SLA + deterministic triage","Immediate triage route (fix/experiment/escalate) with deterministic ledger entry","1.1E.14;6.2.17;10.9.15","BIAS_AND_DIGNITY_GUARDRAILS.md §10"
31,Kernel Integrity,"Self-healing mutates immutable kernel boundaries","Kernel integrity + lifecycle governance","Signed manifest verification, compatibility proofs, rollback TTL, emergency freeze drills","10.9.13;10.9.16;1.1E.17;1.1E.18","AVRAI_PHILOSOPHY_AND_ARCHITECTURE.md §4"
32,Rollback Integrity,"Rollback itself causes inconsistent state","Atomic rollback bundles + quarterly drills","Bundle rollback artifacts and validate restore path regularly","10.9.4;7.7.9","AVRAI_PHILOSOPHY_AND_ARCHITECTURE.md §10"
