type,id,phase,name_or_scope,wave,status,owner_r,accountable_a,consulted_c,informed_i,dependencies,prd_ids,master_plan_refs,architecture_spot,change_type,reopens_milestone,risk_probability,risk_impact,risk_score,priority,target_window,exit_criteria,evidence,notes
milestone,M1-P7-1,7,Trigger + orchestration persistence hardening,1,Done,"AP;MOB",REL,"QA;OBS;RE",GOV,none,"PRD-021;PRD-022;PRD-033;PRD-034","7.4.2;10.9.1;10.9.4",lib/core/controllers,baseline,none,5,5,25,Critical,Week 1-2,Trigger SLOs green and state persistence verified,docs/plans/methodology/M1_P7_1_TRIGGER_ORCHESTRATION_PERSISTENCE_BASELINE.md;configs/runtime/trigger_orchestration_persistence_hardening_controls.json;scripts/runtime/generate_trigger_orchestration_persistence_report.py;docs/plans/methodology/MASTER_PLAN_TRIGGER_ORCHESTRATION_PERSISTENCE_REPORT.json;docs/plans/methodology/MASTER_PLAN_TRIGGER_ORCHESTRATION_PERSISTENCE_REPORT.md;lib/core/controllers/trigger_orchestration_persistence_contract.dart;test/unit/controllers/trigger_orchestration_persistence_contract_test.dart,M1-P7-1 completed with deterministic trigger/orchestration persistence reliability contract + report checks
milestone,M1-P7-2,7,Controller/orchestrator integration reliability,1,Backlog,AP,REL,"QA;OBS",GOV,M1-P7-1,"PRD-021;PRD-022;PRD-033;PRD-034","7.4.3;7.4.4;10.9.4",lib/core/controllers,baseline,none,4,5,20,Critical,Week 2-3,No orchestration dead paths and canary error budget within target,,
milestone,M1-P8-1,8,Federated cohort gating + canary/shadow pipeline,1,Backlog,"FED;MLE",AP,"OBS;QA;MOB",GOV,M1-P7-1,"PRD-021;PRD-022;PRD-033;PRD-034","8.1.3;8.1.4;8.1.5",lib/core/ai2ai,baseline,none,4,5,20,Critical,Week 3-4,Cohort no-regression checks pass and promotion policy enforced,,
milestone,M1-P8-2,8,Advisory quarantine + rollback independence,1,Backlog,LOC,AP,"FED;SEC;QA",GOV,M1-P8-1,"PRD-021;PRD-022;PRD-033;PRD-034","8.9.2;8.9.4;8.9.5",lib/core/services/locality_agents,baseline,none,4,4,16,High,Week 4-5,Advisory source quarantine and disable path validated,,
milestone,M2-P1-1,1,Memory reliability gates,2,Done,"AP;MLE",AP,"QA;OBS",GOV,none,"PRD-001;PRD-002;PRD-010;PRD-011;PRD-033;PRD-034","1.1.1;1.2.12;1.3.1",lib/core/ai,baseline,none,3,4,12,High,Week 5-6,Schema consistency dedupe and replay tests pass,docs/plans/methodology/M2_P1_1_MEMORY_RELIABILITY_GATES_BASELINE.md;configs/runtime/memory_reliability_gates.json;scripts/runtime/generate_memory_reliability_gates_report.py;docs/plans/methodology/MASTER_PLAN_MEMORY_RELIABILITY_GATES_REPORT.json;docs/plans/methodology/MASTER_PLAN_MEMORY_RELIABILITY_GATES_REPORT.md;lib/core/ai/memory/memory_reliability_contract.dart;test/unit/ai/memory_reliability_contract_test.dart,M2-P1-1 completed with deterministic memory schema/dedupe/replay gate contract + report checks
milestone,M2-P3-1,3,State encoder consistency/freshness controls,2,Backlog,"AP;MLE",AP,"QA;REL",GOV,M2-P1-1,"PRD-010;PRD-011;PRD-033;PRD-034","3.1.1;3.1.4;3.2.1",lib/core/models,baseline,none,3,4,12,High,Week 6-7,Feature freshness SLO and atomic snapshot checks pass,,
milestone,M2-P4-1,4,Energy function safety and regression governance,2,Backlog,MLE,AP,"QA;OBS;REL",GOV,M2-P3-1,"PRD-021;PRD-022;PRD-033;PRD-034","4.1.3;4.1.7;4.5.7",lib/core/ml,baseline,none,4,5,20,Critical,Week 7-8,Safety bounds and asymmetric-loss regression suite pass,,
milestone,M2-P5-1,5,Transition predictor drift/calibration controls,2,Backlog,MLE,AP,"QA;OBS",GOV,M2-P4-1,"PRD-021;PRD-022;PRD-033;PRD-034","5.1.3;5.1.9;5.2.1",lib/core/ml,baseline,none,4,5,20,Critical,Week 8-9,Error drift thresholds green and uncertainty calibration validated,,
milestone,M2-P6-1,6,Planner guardrail and rollback-hardening,2,Backlog,"AP;MLE",AP,"REL;QA;OBS",GOV,M2-P5-1,"PRD-021;PRD-022;PRD-033;PRD-034","6.2.1;6.2.9;6.2.10",lib/core/ai,baseline,none,4,5,20,Critical,Week 9-10,Planner respects hard constraints and rollback drill passes,,
milestone,M3-P9-1,9,Business data/consent governance hardening,3,Backlog,"Business Platform;AP",GOV,"SEC;QA",ARCH,M2-P6-1,"PRD-020;PRD-021;PRD-022;PRD-033;PRD-034","9.2.6;9.3.1;9.3.3",lib/core/services/business,baseline,none,3,4,12,High,Week 10-11,Consent and DP checks enforced with complete audit logs,,
milestone,M3-P11-1,11,Integration governance + contract security gates,3,Backlog,Integrations Platform,GOV,"SEC;AP;QA",ARCH,M3-P9-1,"PRD-020;PRD-021;PRD-022;PRD-033;PRD-034","11.1.1;11.2.1;11.4.1",lib/core/cloud,baseline,none,3,5,15,High,Week 11-12,Integration contract tests and security conformance pass,,
milestone,M4-P3-1,1,3-prong claim lifecycle schema + API contracts,4,Backlog,"AP;MLE",AP,"SEC;QA;OBS",GOV,M2-P1-1,"PRD-010;PRD-011;PRD-033;PRD-034","1.1.1;1.1.2;7.7.1",lib/core/ai,baseline,none,4,5,20,Critical,Day 0-30,All new knowledge artifacts created through lifecycle APIs with immutable transition checks,,Implements 3-prong epic 1 foundation
milestone,M4-P3-2,7,Conviction gate shadow mode in serving runtime,4,Backlog,"AP;REL",REL,"MLE;QA;SEC",GOV,M4-P3-1,"PRD-021;PRD-022;PRD-033;PRD-034","6.2.21;7.7.4;7.7.3",lib/core/controllers,baseline,none,4,5,20,Critical,Day 0-30,Shadow gate emits policy+conviction decisions for one release cycle with zero serving-path regressions,,3-prong epic 2 shadow activation
milestone,M4-P3-3,7,Promotion contracts + mandatory eval suite automation,4,Backlog,MLE,AP,"REL;QA;OBS",GOV,M4-P3-1,"PRD-021;PRD-022;PRD-033;PRD-034","5.2.21;7.7.3;7.9.6",lib/core/ml,baseline,none,4,5,20,Critical,Day 0-30,Promotion checklist and CI gates enforce replay/adversarial/contradiction suite pass before promotion,,3-prong epic 3 baseline
milestone,M5-P3-1,6,High-impact conviction gate enforcement (production),5,Backlog,"AP;REL",REL,"MLE;SEC;QA",GOV,M4-P3-2,"PRD-021;PRD-022;PRD-033;PRD-034","6.2.21;6.2.22;7.7.5",lib/core/ai,baseline,none,5,5,25,Critical,Day 31-60,High-impact paths execute only on approved conviction tiers and policy checks,,3-prong epic 2 controlled activation
milestone,M5-P3-2,7,Operational canary + rollback automation for conviction promotions,5,Backlog,REL,REL,"AP;MLE;OBS",GOV,M5-P3-1,"PRD-021;PRD-022;PRD-033;PRD-034","7.7.4;7.7.5;10.9.21",lib/core/controllers,baseline,none,5,5,25,Critical,Day 31-60,Operational promotions run through canary and auto-rollback on threshold breach,,3-prong epic 4 activation
milestone,M5-P3-3,7,Research replication queue + SLA instrumentation,5,Backlog,MLE,AP,"REL;SEC;QA",GOV,M4-P3-3,"PRD-021;PRD-022;PRD-033;PRD-034","1.4.14;7.9.8;7.9.10",docs/plans/architecture,baseline,none,3,5,15,High,Day 31-60,Independent replication workflow live with SLA tracking and approval artifacts,,HITL governance lane for novel/high-risk claims
milestone,M5-P3-4,10,Trust UX v1: confidence + provenance surfaces on priority flows,5,Backlog,"Product;AP",Product,"MLE;Legal;QA",GOV,M5-P3-1,"PRD-012;PRD-013;PRD-014;PRD-033","1.4.13;7.7.5;10.9.9",lib/presentation,baseline,none,3,4,12,High,Day 31-60,Priority high-impact recommendations expose confidence provenance and validation timestamp,,3-prong epic 5 first release
milestone,M6-P3-1,7,Cross-domain self-healing automation + incident routing hardening,6,Backlog,REL,REL,"AP;MLE;SEC",GOV,M5-P3-2,"PRD-021;PRD-022;PRD-033;PRD-034","7.3.4;8.1.1;10.9.12",lib/core/services,baseline,none,5,5,25,Critical,Day 61-90,All autonomous domains enforce detect-contain-recover routing with SLO-backed incident states,,3-prong epic 4 scale-out
milestone,M6-P3-2,10,Lineage explorer + \"what changed\" transparency feed,6,Backlog,"Product;AP",Product,"REL;MLE;Legal",GOV,M5-P3-4,"PRD-012;PRD-013;PRD-014;PRD-033","7.7.5;7.7.6;10.9.9",lib/presentation,baseline,none,3,4,12,High,Day 61-90,Users and operators can inspect recommendation change history and influencing claim lineage,,3-prong epic 5 scale-out
milestone,M6-P3-3,10,Master-plan completion readiness audit + sign-off package,6,Backlog,"AP;REL",GOV,"MLE;SEC;QA;Product",ALL,"M6-P3-1;M6-P3-2","PRD-030;PRD-031;PRD-032;PRD-033;PRD-034","10.9.21;10.10.8",docs,baseline,none,4,5,20,Critical,Day 61-90,Go-live gates pass with drill evidence replication logs and immutable audit reconstruction proof,,3-prong completion gate for platform readiness
milestone,M7-P7-3,7,URK Stage A: TriggerService + PrivacyModePolicy + NoEgressGate contract freeze,7,Done,"AP;REL",REL,"SEC;QA;OBS",GOV,M6-P3-3,"PRD-021;PRD-022;PRD-033;PRD-034","7.4.2;7.5.1;7.7.5;10.9.12",lib/core/controllers,baseline,none,4,5,20,Critical,Week 13-14,URK trigger/policy/no-egress contracts implemented with deterministic policy deny codes and tests,docs/plans/methodology/M7_P7_3_URK_STAGE_A_TRIGGER_PRIVACY_NO_EGRESS_BASELINE.md;configs/runtime/urk_stage_a_trigger_privacy_no_egress_controls.json;scripts/runtime/generate_urk_stage_a_trigger_privacy_no_egress_report.py;docs/plans/methodology/MASTER_PLAN_URK_STAGE_A_TRIGGER_PRIVACY_NO_EGRESS_REPORT.json;docs/plans/methodology/MASTER_PLAN_URK_STAGE_A_TRIGGER_PRIVACY_NO_EGRESS_REPORT.md;lib/core/controllers/urk_stage_a_trigger_privacy_no_egress_contract.dart;test/unit/controllers/urk_stage_a_trigger_privacy_no_egress_contract_test.dart,M7-P7-3 completed with deterministic URK Stage A trigger/privacy/no-egress contract + report checks
milestone,M7-P7-4,7,URK Stage B: Event Ops runtime shadow wiring (ingest-plan-gate-observe),7,Done,"AP;MOB",REL,"MLE;SEC;QA",GOV,M7-P7-3,"PRD-021;PRD-022;PRD-033;PRD-034","6.1.1;6.2.1;7.4.3;7.7.5",lib/core/controllers,baseline,none,4,5,20,Critical,Week 14-15,Event Ops shadow runtime emits lineage-complete decisions and blocks high-impact autonomous commit paths in shadow mode,docs/plans/methodology/M7_P7_4_URK_STAGE_B_EVENT_OPS_SHADOW_RUNTIME_BASELINE.md;configs/runtime/urk_stage_b_event_ops_shadow_runtime_controls.json;scripts/runtime/generate_urk_stage_b_event_ops_shadow_runtime_report.py;docs/plans/methodology/MASTER_PLAN_URK_STAGE_B_EVENT_OPS_SHADOW_RUNTIME_REPORT.json;docs/plans/methodology/MASTER_PLAN_URK_STAGE_B_EVENT_OPS_SHADOW_RUNTIME_REPORT.md;lib/core/controllers/urk_stage_b_event_ops_shadow_runtime_contract.dart;test/unit/controllers/urk_stage_b_event_ops_shadow_runtime_contract_test.dart,M7-P7-4 completed with deterministic URK Stage B Event Ops shadow runtime contract + report checks
